VehicleId,createdAt,Longitude,Latitude,DeviceTime,TimeOffset,IntersectionId,Event,Distance,RouteSession,Speed,CalculationAdvisory,SPAT,heading,MAP,Lane
cit09750,2019-02-18 09:45:34.557 +00:00,0,0,2019-02-18 08:35:25.002 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:45:33.276 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:38.735 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:45:33.229 +00:00,0,0,2019-02-18 08:30:58.420 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:45:30.838 +00:00,0,0,2019-02-18 08:35:23.974 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:45:29.557 +00:00,0,0,2019-02-18 08:30:57.390 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:45:29.401 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:37.654 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:45:26.963 +00:00,0,0,2019-02-18 08:35:22.934 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:45:26.135 +00:00,0,0,2019-02-18 08:30:56.366 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:45:25.542 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:36.607 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:45:22.963 +00:00,0,0,2019-02-18 08:35:21.907 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:45:22.338 +00:00,0,0,2019-02-18 08:30:55.342 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:45:21.385 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:35.581 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:45:18.979 +00:00,0,0,2019-02-18 08:35:20.883 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:45:18.541 +00:00,0,0,2019-02-18 08:30:54.323 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:45:17.276 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:34.523 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:45:15.135 +00:00,0,0,2019-02-18 08:35:19.851 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:45:14.870 +00:00,0,0,2019-02-18 08:30:53.301 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:45:13.463 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:33.458 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:45:11.010 +00:00,0,0,2019-02-18 08:30:52.279 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:45:10.823 +00:00,0,0,2019-02-18 08:35:18.799 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:45:09.854 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:32.399 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:45:07.151 +00:00,0,0,2019-02-18 08:30:51.255 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:45:07.057 +00:00,0,0,2019-02-18 08:35:17.771 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:45:06.291 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:31.344 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:45:03.588 +00:00,0,0,2019-02-18 08:30:50.232 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:45:03.291 +00:00,0,0,2019-02-18 08:35:16.745 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:45:02.244 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:30.283 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:59.979 +00:00,0,0,2019-02-18 08:30:49.209 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:59.416 +00:00,0,0,2019-02-18 08:35:15.714 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:58.260 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:29.210 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:56.401 +00:00,0,0,2019-02-18 08:30:48.184 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:55.526 +00:00,0,0,2019-02-18 08:35:14.677 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:54.323 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:28.182 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:52.823 +00:00,0,0,2019-02-18 08:30:47.163 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:51.385 +00:00,0,0,2019-02-18 08:35:13.651 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:50.510 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:27.125 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:49.026 +00:00,0,0,2019-02-18 08:30:46.140 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:47.369 +00:00,0,0,2019-02-18 08:35:12.612 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:46.307 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:26.063 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:45.010 +00:00,0,0,2019-02-18 08:30:45.112 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:43.651 +00:00,0,0,2019-02-18 08:35:11.575 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:42.229 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:25.000 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:41.354 +00:00,0,0,2019-02-18 08:30:44.100 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:39.916 +00:00,0,0,2019-02-18 08:35:10.556 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:38.244 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:23.940 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:37.541 +00:00,0,0,2019-02-18 08:30:43.082 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:35.697 +00:00,0,0,2019-02-18 08:35:09.528 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:34.401 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:22.893 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:33.901 +00:00,0,0,2019-02-18 08:30:42.058 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:31.807 +00:00,0,0,2019-02-18 08:35:08.497 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:30.276 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:21.843 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:29.994 +00:00,0,0,2019-02-18 08:30:41.036 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:27.994 +00:00,0,0,2019-02-18 08:35:07.476 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:26.197 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:20.798 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:25.963 +00:00,0,0,2019-02-18 08:30:40.011 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:24.557 +00:00,0,0,2019-02-18 08:35:06.413 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:22.166 +00:00,0,0,2019-02-18 08:30:38.988 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:21.900 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:19.743 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:20.682 +00:00,0,0,2019-02-18 08:35:05.372 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:18.463 +00:00,0,0,2019-02-18 08:30:37.965 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:17.729 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:18.679 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:17.119 +00:00,0,0,2019-02-18 08:35:04.344 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:14.869 +00:00,0,0,2019-02-18 08:30:36.944 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:13.479 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:17.613 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:13.025 +00:00,0,0,2019-02-18 08:35:03.315 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:11.275 +00:00,0,0,2019-02-18 08:30:35.920 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
CIT09770,2019-02-18 09:44:09.744 +00:00,-1.89969663,52.4873727,2019-02-18 09:19:16.571 +00:00,307,NULL,Locating intersection,0,1a97116a-7cd3-4b7c-bd04-b68bdcdec8ea,0,NULL,NULL,-1,NULL,NULL
cit09750,2019-02-18 09:44:09.041 +00:00,0,0,2019-02-18 08:35:02.241 +00:00,405219,NULL,Locating intersection,0,584a4d3b-dae5-4512-a3fd-1ea3914d4200,0,NULL,NULL,-1,NULL,NULL
Steve Moto,2019-02-18 09:44:07.682 +00:00,0,0,2019-02-18 08:30:34.897 +00:00,332,NULL,Locating intersection,0,6ba9584b-43d2-4d07-a9fd-ea947ab27f4a,0,NULL,NULL,-1,NULL,NULL
